card_id,area,number_rooms,furniture,condition,date
4cPmu,58,2,1,Авторский проект,2025-12-04
4e7gA,500,1,1,,2025-12-03
42Lpx,41,1,1,,2025-12-03
4eoaW,105,4,1,Евроремонт,2025-12-05
4eoaR,28,1,1,,2025-12-05
4dd2F,50,2,1,Авторский проект,2025-12-05
4dAT7,28,1,1,Евроремонт,2025-12-05
44nkp,55,2,1,Авторский проект,2025-12-05
4dASt,56,2,0,Евроремонт,2025-12-05
4dARk,65,2,1,Евроремонт,2025-12-05
4eo6i,30,1,0,Авторский проект,2025-12-05
4dAQD,50,2,1,Евроремонт,2025-12-05
4b0Ug,70,3,1,Евроремонт,2025-12-05
4djwL,30,1,1,Авторский проект,2025-11-16
4dU0R,75,3,1,Авторский проект,2025-12-03
4bnQR,140,4,1,Авторский проект,2025-12-02
4chJ9,55,2,1,Евроремонт,2025-12-05
4dZqg,46,1,1,Евроремонт,2025-12-05
4dZxp,30,1,1,Авторский проект,2025-12-05
4aoCQ,62,2,1,Евроремонт,2025-12-05
4enX4,78,3,1,,2025-12-05
4aFgE,42,1,1,Евроремонт,2025-12-05
4dZmt,45,1,1,Евроремонт,2025-12-05
4aFhG,60,2,1,Авторский проект,2025-12-05
4enXi,55,2,1,Евроремонт,2025-12-05
46Q0s,50,2,1,,2025-12-05
3J6O8,35,1,0,Авторский проект,2025-12-05
3ZmkO,55,2,1,Евроремонт,2025-12-05
4edBS,66,2,1,Евроремонт,2025-12-02
4enS1,70,3,1,Евроремонт,2025-12-05
4enPM,60,2,1,Евроремонт,2025-12-05
2NEZG,55,2,1,Евроремонт,2025-12-05
4enR2,67,3,1,Евроремонт,2025-12-05
37BqU,79,3,1,,2025-12-05
3WJtg,65,2,1,Авторский проект,2025-12-05
4enOC,30,1,1,Евроремонт,2025-12-05
4dcIE,75,3,1,Авторский проект,2025-12-05
31lmv,33,1,1,Евроремонт,2025-12-05
4enKO,72,3,1,Евроремонт,2025-12-05
4elsk,76,3,1,,2025-12-04
3vogW,120,3,1,Авторский проект,2025-12-03
3YvTc,85,3,1,Евроремонт,2025-12-05
3hQzq,125,4,1,Евроремонт,2025-12-05
3Y6jB,65,2,1,Евроремонт,2025-12-05
45gNs,50,2,1,Евроремонт,2025-12-05
4bGZX,110,4,1,Евроремонт,2025-12-05
3PPIb,45,2,1,Евроремонт,2025-12-05
3d95v,45,1,1,Евроремонт,2025-12-05
4enI3,60,2,1,Евроремонт,2025-12-05
44jFF,100,3,1,Евроремонт,2025-12-05
4dcCL,63,2,1,Евроремонт,2025-12-05
3dsbR,65,2,1,Евроремонт,2025-12-05
40Otz,77,3,1,Евроремонт,2025-12-03
4eePl,70,3,1,Средний,2025-12-03
4cVOF,85,2,1,Авторский проект,2025-12-04
3dsbR,65,2,1,Евроремонт,2025-12-05
41bs3,130,4,1,Евроремонт,2025-12-05
3EiRu,65,2,1,Евроремонт,2025-12-05
4enAX,50,2,0,Евроремонт,2025-12-05
